method,variant,contract_id,descriptive_q,cal_n,cal_wr,cal_pf,cal_net,cal_long_pf,cal_short_pf,cal_cost060_pf,formal_calibration_pass
ABSOLUTE_SCORE,LOCAL_ONLY,TP10_SL5_H240,0.9,576,0.3368055555555556,0.9267690945604488,-135.65000000000737,0.8681542201023081,0.9930847207999128,0.8432162898503547,False
ABSOLUTE_SCORE,LOCAL_ONLY,TP5_SL3_H120,0.9,1521,0.3405654174884944,0.8486842764941209,-452.7200000000048,0.8480961732897836,0.849691693870147,0.7239588710803924,False
ABSOLUTE_SCORE,LOCAL_ONLY,TP7P5_SL4_H180,0.99,197,0.3604060913705584,0.9893452380952348,-5.37000000000171,0.777357954545451,1.4802631578947338,0.8810626325984664,False
ABSOLUTE_SCORE,LOCAL_PLUS_HTF,TP10_SL5_H240,0.95,361,0.3019390581717451,0.7639256648093651,-290.65000000000646,0.6313097262121082,0.9287666241574002,0.6947823425904635,False
ABSOLUTE_SCORE,LOCAL_PLUS_HTF,TP5_SL3_H120,0.9,1651,0.3391883706844337,0.8367672668446247,-527.720000000008,0.8069656448862434,0.8805412794293933,0.7127042343703467,False
ABSOLUTE_SCORE,LOCAL_PLUS_HTF,TP7P5_SL4_H180,0.95,587,0.3287904599659284,0.8519311091630968,-229.72000000000529,0.8537971360627522,0.8488061374019445,0.7569896465205936,False
ROLLING_60D_RANK,LOCAL_ONLY,TP10_SL5_H240,0.9,627,0.3381180223285486,0.9101017409666088,-182.6400000000085,0.8290690745748694,1.0040604604689674,0.828070582233864,False
ROLLING_60D_RANK,LOCAL_ONLY,TP5_SL3_H120,0.99,361,0.3490304709141274,0.8932448128020174,-74.45000000000118,0.8346338807730675,0.9939582927304612,0.7620101837502762,False
ROLLING_60D_RANK,LOCAL_ONLY,TP7P5_SL4_H180,0.99,204,0.3480392156862745,0.9503571428571406,-26.41000000000122,0.803388888888887,1.2579651162790666,0.8468088826717934,False
ROLLING_60D_RANK,LOCAL_PLUS_HTF,TP10_SL5_H240,0.95,285,0.3192982456140351,0.8402427122671479,-150.60000000000537,0.6441344075456814,1.0703121397943605,0.7641594246328992,False
ROLLING_60D_RANK,LOCAL_PLUS_HTF,TP5_SL3_H120,0.95,851,0.3419506462984724,0.8500726235945975,-250.83000000000263,0.829890219560877,0.8802104290547065,0.7251340034865331,False
ROLLING_60D_RANK,LOCAL_PLUS_HTF,TP7P5_SL4_H180,0.95,444,0.3355855855855856,0.864142174792371,-157.86000000000467,0.8057393306425844,0.9596335268505044,0.7673678826049395,False
