profile,stage,n,wr,pf,net,dd,positive_months,negative_months,median_monthly
CATALOG,RAW_SELECTED_EXACT_M1,10,0.3,0.5357142857142857,-13.0,13.75,1,4,1.5
CATALOG,GLOBAL_DEDUP_EXACT_M1,10,0.3,0.5357142857142857,-13.0,13.75,1,4,1.5
CATALOG,HEALTH_GATE_1_PRIOR_POSITIVE_BLOCK,0,,,0.0,0.0,0,0,0.0
CATALOG,HEALTH_GATE_2_PRIOR_POSITIVE_BLOCKS,0,,,0.0,0.0,0,0,0.0
CATALOG,RESOLVED_ONLY_LIVE_REPLAY_1BLOCK,0,,,0.0,0.0,0,0,0.0
BALANCED,RAW_SELECTED_EXACT_M1,0,,,0.0,0.0,0,0,0.0
BALANCED,GLOBAL_DEDUP_EXACT_M1,0,,,0.0,0.0,0,0,0.0
BALANCED,HEALTH_GATE_1_PRIOR_POSITIVE_BLOCK,0,,,0.0,0.0,0,0,0.0
BALANCED,HEALTH_GATE_2_PRIOR_POSITIVE_BLOCKS,0,,,0.0,0.0,0,0,0.0
BALANCED,RESOLVED_ONLY_LIVE_REPLAY_1BLOCK,0,,,0.0,0.0,0,0,0.0
