candidate_id,hypothesis_family,tier,direction,entry_style,exit_contract,evidence_scope,cal_n,cal_wr,cal_pf,eval_n,eval_wr,eval_pf,aggregate_n,aggregate_wr,aggregate_pf,aggregate_net_usd,frequency_note,status,deployment,dedupe_group,source_branch,source_pr,source_path
M5_GAP_FILL_LONG_LOGISTIC_TP5_SL3,M5_GAP_FILL_LONG,PROSPECTIVE_CATALOG,LONG,event_first_logistic,TP5_SL3,calibration_plus_2025_plus_eval,23,0.565217,1.206794,26,0.576923,2.16234,,,,,low_frequency,RETAIN_PROSPECTIVE_CATALOG,NO_DEPLOYMENT,M5_GAP_FILL_LONG,feature/gold-scalp-candidate-stack-v1-research,88,config/gold_scalp_candidate_stack_v1/candidate_catalog_20260802.csv
REOPEN_GAPDOWN_RECLAIM_LONG_LOGISTIC_TP5_SL3,DAILY_REOPEN_GAP_RECLAIM_LONG,PROSPECTIVE_CATALOG,LONG,event_first_logistic,TP5_SL3,calibration_plus_2025_plus_eval,13,0.769231,3.207254,28,0.5,1.636318,,,,,very_low_frequency,RETAIN_PROSPECTIVE_CATALOG,NO_DEPLOYMENT,DAILY_REOPEN_GAP_RECLAIM_LONG,feature/gold-scalp-candidate-stack-v1-research,88,config/gold_scalp_candidate_stack_v1/candidate_catalog_20260802.csv
REOPEN_GAPDOWN_RECLAIM_LONG_LGBM_TP5_SL3,DAILY_REOPEN_GAP_RECLAIM_LONG,OBSERVATION_ONLY,LONG,event_first_small_lgbm,TP5_SL3,calibration_plus_2025_plus_eval,13,0.769231,2.738526,16,0.6875,3.440667,,,,,too_small_user_rejected,TOO_SMALL_USER_REJECTED_RETAIN_OBSERVATION_ONLY,NO_DEPLOYMENT,DAILY_REOPEN_GAP_RECLAIM_LONG,feature/gold-scalp-candidate-stack-v1-research,88,config/gold_scalp_candidate_stack_v1/candidate_catalog_20260802.csv
FP_HTF_PULLBACK_RESUME_2024H2,HTF_PULLBACK_RESUME,OBSERVATION_ONLY,STRUCTURAL,event_specific_first_passage,selected_by_frozen_specialist,single_positive_target_block,,,,,,,25,0.44,1.560882,38.14,single_block_only,OBSERVATION_ONLY_SINGLE_BLOCK,NO_DEPLOYMENT,HTF_PULLBACK_RESUME,feature/gold-scalp-first-passage-v1-research,90,config/gold_scalp_first_passage_v1/candidate_observation_catalog_20260802.csv
FP_M5_GAP_FILL_2025H2,M5_GAP_FILL,OBSERVATION_ONLY,STRUCTURAL,event_specific_first_passage,selected_by_frozen_specialist,single_positive_target_block,,,,,,,66,0.363636,1.239541,38.65,single_block_wr_below_50,OBSERVATION_ONLY_SINGLE_BLOCK,NO_DEPLOYMENT,M5_GAP_FILL,feature/gold-scalp-first-passage-v1-research,90,config/gold_scalp_first_passage_v1/candidate_observation_catalog_20260802.csv
FP_COMPRESSION_RELEASE_2025H1,COMPRESSION_RELEASE,OBSERVATION_ONLY,STRUCTURAL,event_specific_first_passage,selected_by_frozen_specialist,single_positive_target_block,,,,,,,38,0.368421,1.11886,11.47,single_block_below_gates,OBSERVATION_ONLY_SINGLE_BLOCK,NO_DEPLOYMENT,COMPRESSION_RELEASE,feature/gold-scalp-first-passage-v1-research,90,config/gold_scalp_first_passage_v1/candidate_observation_catalog_20260802.csv
SEQ_HTF_PULLBACK_FAIL_FALSE_BREAK_OPP_RANK_RISING,HTF_PULLBACK_FAILURE_OPPOSITE_FALSE_BREAK,OBSERVATION_ONLY,OPPOSITE_STRUCTURAL,event_sequence_strength,frozen_sequence_policy,single_positive_target_block,,,,,,,22,0.409091,1.458116,19.36,single_block_wr_below_50,OBSERVATION_ONLY,NO_DEPLOYMENT,HTF_PULLBACK_FAILURE_OPPOSITE_FALSE_BREAK,feature/gold-scalp-event-sequence-grammar-v1-research,91,config/gold_scalp_event_sequence_grammar_v1/candidate_observation_catalog_20260802.csv
SEQ_SWEEP_RECLAIM_RUN_RESUME_RANK_RISING,SWEEP_RECLAIM_RUN_RESUME,OBSERVATION_ONLY,STRUCTURAL,event_sequence_strength,frozen_sequence_policy,single_positive_target_block,,,,,,,17,0.352941,1.198083,4.96,small_single_block,OBSERVATION_ONLY,NO_DEPLOYMENT,SWEEP_RECLAIM_RUN_RESUME,feature/gold-scalp-event-sequence-grammar-v1-research,91,config/gold_scalp_event_sequence_grammar_v1/candidate_observation_catalog_20260802.csv
SEQ_EXHAUSTION_MICRO_REVERSAL_NEXT_BAR_DENIAL_FADE_2026JUL,EXHAUSTION_MICRO_REVERSAL,OBSERVATION_ONLY,FADE,event_sequence_timing,frozen_sequence_policy,tiny_single_month,,,,,,,3,0.666667,4.0,15.0,three_trades_only,OBSERVATION_ONLY_TINY,NO_DEPLOYMENT,EXHAUSTION_MICRO_REVERSAL,feature/gold-scalp-event-sequence-grammar-v1-research,91,config/gold_scalp_event_sequence_grammar_v1/candidate_observation_catalog_20260802.csv
SEQ_COMPRESSION_EFFORT_EXPAND_NEXT_BAR_FOLLOW_2026JUL,COMPRESSION_EFFORT_EXPAND,OBSERVATION_ONLY,FOLLOW,event_sequence_timing,frozen_sequence_policy,tiny_single_month,,,,,,,2,0.5,2.142857,4.0,two_trades_only,OBSERVATION_ONLY_TINY,NO_DEPLOYMENT,COMPRESSION_RELEASE,feature/gold-scalp-event-sequence-grammar-v1-research,91,config/gold_scalp_event_sequence_grammar_v1/candidate_observation_catalog_20260802.csv
VA_SHORT_LEVEL_RECLAIM_BASE_P50,VOLUME_ABSORPTION_SHORT_ACTIVATION_RETEST,PROVISIONAL_OBSERVATION_LEAD,SHORT,activation_level_reclaim,SL5_P50_AT_PLUS5_REMAINDER_BE_TP10_H240,retrospective_multi_block_pseudo_forward_aggregate,,,,,,,19,0.631579,1.714286,25.0,about_1_trade_per_month_or_less_component,OBSERVATION_ONLY_PROVISIONAL_LEAD,NO_DEPLOYMENT,VOLUME_ABSORPTION_SHORT_ACTIVATION_RETEST,feature/gold-scalp-activation-retest-v1-research,93,config/gold_scalp_activation_retest_v1/candidate_observation_catalog_20260802.csv
VA_SHORT_EXTREME_RESUME_BASE_P50,VOLUME_ABSORPTION_SHORT_ACTIVATION_RETEST,PROVISIONAL_OBSERVATION_LEAD,SHORT,favorable_extreme_resume,SL5_P50_AT_PLUS5_REMAINDER_BE_TP10_H240,retrospective_multi_block_pseudo_forward_aggregate,,,,,,,41,0.609756,1.65625,52.5,about_1_to_2_trades_per_month_component,OBSERVATION_ONLY_PROVISIONAL_LEAD,NO_DEPLOYMENT,VOLUME_ABSORPTION_SHORT_ACTIVATION_RETEST,feature/gold-scalp-activation-retest-v1-research,93,config/gold_scalp_activation_retest_v1/candidate_observation_catalog_20260802.csv
TREND_LONG_EFFORT_LEVEL_P1_BASE_P50,EFFORT_RESULT_CONTINUATION_LONG_ACTIVATION_RETEST,PROVISIONAL_OBSERVATION_LEAD,LONG,activation_level_reclaim,SL5_P50_AT_PLUS5_REMAINDER_BE_TP10_H240,retrospective_natural_history_after_pseudo_forward_decomposition,,,,,,,53,0.603774,1.700143,68.425,about_1_trade_per_month_component,OBSERVATION_ONLY_PROVISIONAL_LEAD,NO_DEPLOYMENT,TREND_LONG_EFFORT_ACTIVATION_RETEST,feature/gold-scalp-long-range-activation-partial-v1-research,95,config/gold_scalp_long_range_activation_partial_v1/candidate_observation_catalog_20260802.csv
TREND_LONG_HTF_LEVEL_P1_BASE_P50,HTF_PULLBACK_RESUME_LONG_ACTIVATION_RETEST,PROVISIONAL_OBSERVATION_LEAD,LONG,activation_level_reclaim,SL5_P50_AT_PLUS5_REMAINDER_BE_TP10_H240,retrospective_natural_history_after_pseudo_forward_decomposition,,,,,,,47,0.659574,2.082,86.56,about_1_trade_per_month_component,OBSERVATION_ONLY_PROVISIONAL_LEAD,NO_DEPLOYMENT,TREND_LONG_HTF_ACTIVATION_RETEST,feature/gold-scalp-long-range-activation-partial-v1-research,95,config/gold_scalp_long_range_activation_partial_v1/candidate_observation_catalog_20260802.csv
REGIME_DESCRIPTIVE_M5_GAP_FILL_CORE,M5_GAP_FILL,DESCRIPTIVE_ONLY,STRUCTURAL,regime_specialist_family,mixed_frozen_specialists,post_result_descriptive_2023H2_to_2026JUL,,,,,,,,,,,part_of_combined_226_trade_core,DESCRIPTIVE_ONLY_NOT_UNTOUCHED,NO_DEPLOYMENT,M5_GAP_FILL,feature/gold-scalp-regime-stack-v1-research,89,docs/gold_scalp_regime_stack_v1/GOLD_SCALP_REGIME_STACK_V1_AUDIT_20260802.md
REGIME_DESCRIPTIVE_COMPRESSION_RELEASE_CORE,COMPRESSION_RELEASE,DESCRIPTIVE_ONLY,STRUCTURAL,regime_specialist_family,mixed_frozen_specialists,post_result_descriptive_2023H2_to_2026JUL,,,,,,,,,,,part_of_combined_226_trade_core,DESCRIPTIVE_ONLY_NOT_UNTOUCHED,NO_DEPLOYMENT,COMPRESSION_RELEASE,feature/gold-scalp-regime-stack-v1-research,89,docs/gold_scalp_regime_stack_v1/GOLD_SCALP_REGIME_STACK_V1_AUDIT_20260802.md
REGIME_DESCRIPTIVE_EFFORT_RESULT_CONT_CORE,EFFORT_RESULT_CONTINUATION,DESCRIPTIVE_ONLY,STRUCTURAL,regime_specialist_family,mixed_frozen_specialists,post_result_descriptive_2023H2_to_2026JUL,,,,,,,,,,,part_of_combined_226_trade_core,DESCRIPTIVE_ONLY_NOT_UNTOUCHED,NO_DEPLOYMENT,EFFORT_RESULT_CONTINUATION,feature/gold-scalp-regime-stack-v1-research,89,docs/gold_scalp_regime_stack_v1/GOLD_SCALP_REGIME_STACK_V1_AUDIT_20260802.md
