variant,year,n,win,pf,sum,dd,positive_months,losing_months,top5_share
BASE_459,2024,188,0.6542553191489362,1.4110630340261248,123.16547675824268,38.88522976948023,9,3,0.32608844169232426
STAGE281_MEDIUM_CAND_COST060,2024,39,0.5384615384615384,1.792967686064176,97.36734889740538,26.99373148910854,8,3,0.8316873126187359
STAGE281_MEDIUM_CAND_COST100,2024,39,0.5384615384615384,1.629035031555079,81.76734889740533,28.99373148910854,8,3,0.965901301757872
BASE_PLUS_STAGE281,2024,227,0.6343612334801763,1.5220758652443602,220.53282565564797,34.373921514706836,10,2,0.3671978921983218
BASE_PLUS_STAGE280_PLUS_STAGE281,2024,239,0.6359832635983264,1.617545109783274,267.0687767991543,34.37392151470684,10,2,0.303214736338098
BASE_459,2025,185,0.6810810810810811,1.7027138232222687,327.96497989371346,51.08421340658458,10,2,0.24621069608508023
STAGE281_MEDIUM_CAND_COST060,2025,30,0.5666666666666667,2.1979090611464693,120.49028471071418,33.53937262532518,7,2,0.9113915130850014
STAGE281_MEDIUM_CAND_COST100,2025,30,0.5666666666666667,2.0255847405370866,108.49028471071415,35.93937262532518,7,2,0.9937647705692956
BASE_PLUS_STAGE281,2025,215,0.6651162790697674,1.790513929233421,448.4552646044275,58.46457996869091,10,2,0.25110099325844454
BASE_PLUS_STAGE280_PLUS_STAGE281,2025,232,0.6551724137931034,1.7723051782113497,508.8835617140343,63.486910602953856,10,2,0.30888239212655266
BASE_459,2026,86,0.686046511627907,2.2593099202344726,546.5257235420607,52.47737143815684,6,0,0.4647327899762478
STAGE281_MEDIUM_CAND_COST060,2026,14,0.6428571428571429,1.2559852304606534,28.207621424624975,58.868417759437946,3,1,4.315145831251829
STAGE281_MEDIUM_CAND_COST100,2026,14,0.6428571428571429,1.2015076399279325,22.607621424624995,59.66841775943794,3,1,5.2955593050402525
BASE_PLUS_STAGE281,2026,100,0.68,2.0561444163269145,574.7333449666856,90.09946395598672,6,0,0.44192394006687014
BASE_PLUS_STAGE280_PLUS_STAGE281,2026,111,0.6756756756756757,2.402247189521819,864.3930571388804,131.16115076496612,6,0,0.41044062990388164
