cap,portfolio,control,year,n,win,pf,sum,dd,candidate_n
8.5,CROSS_CANDIDATE_ONLY,NONE,2024,86,0.5232558139534884,1.2889197830346777,62.59986405066789,37.706460060401945,86
8.5,CROSS_CANDIDATE_ONLY,NONE,2025,39,0.4358974358974359,1.0500343720501375,7.061293001994837,40.91098335277884,39
8.5,CROSS_CANDIDATE_ONLY,NONE,2026,0,,,0.0,0.0,0
8.5,BASE_280_281_CROSS,NONE,2024,318,0.6132075471698113,1.5109497952186213,322.92996590731764,41.05768905879359,130
8.5,BASE_280_281_CROSS,NONE,2025,263,0.6311787072243346,1.6626765829595238,512.3899484443361,79.95035594882155,78
8.5,BASE_280_281_CROSS,NONE,2026,111,0.6756756756756757,2.402247189521819,864.3930571388804,131.16115076496612,25
8.5,BASE_280_281_CROSS,BALANCED,2024,286,0.6363636363636364,1.6061335751671175,318.6090683111155,29.78155408573285,98
8.5,BASE_280_281_CROSS,BALANCED,2025,231,0.6493506493506493,1.8080765548995357,496.27618261417575,42.922985328270784,46
8.5,BASE_280_281_CROSS,BALANCED,2026,99,0.6868686868686869,2.6876234353811914,851.174435943764,66.06159660301586,13
10.0,CROSS_CANDIDATE_ONLY,NONE,2024,89,0.5280898876404494,1.3543484552357947,80.16299914317676,39.70727188455366,89
10.0,CROSS_CANDIDATE_ONLY,NONE,2025,44,0.4772727272727273,1.2520460173197885,38.07407207526658,38.61240202420876,44
10.0,CROSS_CANDIDATE_ONLY,NONE,2026,0,,,0.0,0.0,0
10.0,BASE_280_281_CROSS,NONE,2024,320,0.6125,1.5091086077790936,326.6322591698147,50.615489863304994,132
10.0,BASE_280_281_CROSS,NONE,2025,268,0.6343283582089553,1.693873445861155,543.4027275176079,79.95035594882155,83
10.0,BASE_280_281_CROSS,NONE,2026,111,0.6756756756756757,2.402247189521819,864.3930571388804,131.16115076496612,25
10.0,BASE_280_281_CROSS,BALANCED,2024,282,0.6312056737588653,1.559505340766107,295.58204792062253,41.88258557195832,94
10.0,BASE_280_281_CROSS,BALANCED,2025,236,0.652542372881356,1.797932171529904,507.75052260011256,61.015373892608295,51
10.0,BASE_280_281_CROSS,BALANCED,2026,99,0.6868686868686869,2.6876234353811914,851.174435943764,66.06159660301586,13
