source_group,symbol,timeframe,rows,gold_rows,matching_gold_times,gold_time_coverage
XAGUSD,SILVER#,M5,245442,245471,245439,0.9998696383686871
USDJPY,USDJPY#,M5,258368,245471,245471,1.0
EURUSD,EURUSD#,M5,258385,245471,245471,1.0
US500_RISK_PROXY,US500Cash#,M5,245021,245471,244654,0.9966717046005434
NAS100_RISK_PROXY,US100Cash#,M5,245027,245471,244658,0.9966879998044575
XAGUSD,SILVER#,M15,81824,81829,81824,0.9999388969680676
USDJPY,USDJPY#,M15,86128,81829,81829,1.0
EURUSD,EURUSD#,M15,86130,81829,81829,1.0
US500_RISK_PROXY,US500Cash#,M15,81682,81829,81560,0.9967126568820345
NAS100_RISK_PROXY,US100Cash#,M15,81681,81829,81559,0.996700436275648
XAGUSD,SILVER#,H1,20471,20471,20471,1.0
USDJPY,USDJPY#,H1,21534,20471,20471,1.0
EURUSD,EURUSD#,H1,21534,20471,20471,1.0
US500_RISK_PROXY,US500Cash#,H1,20430,20471,20398,0.9964339797762689
NAS100_RISK_PROXY,US100Cash#,H1,20430,20471,20398,0.9964339797762689
XAGUSD,SILVER#,H4,5355,5355,5355,1.0
USDJPY,USDJPY#,H4,5399,5355,5355,1.0
EURUSD,EURUSD#,H4,5399,5355,5355,1.0
US500_RISK_PROXY,US500Cash#,H4,5341,5355,5331,0.9955182072829132
NAS100_RISK_PROXY,US100Cash#,H4,5341,5355,5331,0.9955182072829132
XAGUSD,SILVER#,D1,894,894,894,1.0
USDJPY,USDJPY#,D1,913,894,894,1.0
EURUSD,EURUSD#,D1,913,894,894,1.0
US500_RISK_PROXY,US500Cash#,D1,896,894,894,1.0
NAS100_RISK_PROXY,US100Cash#,D1,896,894,894,1.0
