portfolio,control,year,n,win,pf,sum,dd,positive_months,losing_months,base_n,candidate_n
EXISTING_280_281,NONE,2024,239,0.6359832635983264,1.617545109783274,267.0687767991543,34.37392151470684,10,2,188,51
EXISTING_280_281,NONE,2025,232,0.6551724137931034,1.7723051782113497,508.8835617140343,63.486910602953856,10,2,185,47
EXISTING_280_281,NONE,2026,111,0.6756756756756757,2.402247189521819,864.3930571388804,131.16115076496612,6,0,86,25
EXISTING_280_281,BALANCED,2024,228,0.6491228070175439,1.6750014393799024,260.8562726601765,28.941120803812023,11,1,188,40
EXISTING_280_281,BALANCED,2025,215,0.6651162790697674,1.8467592068173104,478.9081121624621,42.922985328270784,9,3,185,30
EXISTING_280_281,BALANCED,2026,99,0.6868686868686869,2.6876234353811914,851.174435943764,66.06159660301586,5,1,86,13
EXISTING_280_281,CONSERVATIVE,2024,222,0.6531531531531531,1.6698531309949876,248.42836219764015,36.21038938547499,11,1,188,34
EXISTING_280_281,CONSERVATIVE,2025,214,0.6682242990654206,1.8192708899355123,461.1854004214357,51.08421340658458,9,3,185,29
EXISTING_280_281,CONSERVATIVE,2026,96,0.6979166666666666,2.8695492795183544,877.8536040504591,52.47737143815684,5,1,86,10
PLUS_CROSS,NONE,2024,320,0.6125,1.5091086077790936,326.6322591698147,50.615489863304994,9,3,188,132
PLUS_CROSS,NONE,2025,309,0.6116504854368932,1.5459469203848015,565.6363096955567,98.16503659222089,9,3,185,124
PLUS_CROSS,NONE,2026,165,0.6121212121212121,1.7558525807155536,908.4752266696504,194.9735410002617,6,0,86,79
PLUS_CROSS,BALANCED,2024,282,0.6312056737588653,1.559505340766107,295.58204792062253,41.88258557195832,10,2,188,94
PLUS_CROSS,BALANCED,2025,248,0.6330645161290323,1.629999656979588,463.8562267536242,68.75433967008985,7,5,185,63
PLUS_CROSS,BALANCED,2026,114,0.6491228070175439,2.047869657164868,746.3237667166472,105.26432423256502,6,0,86,28
PLUS_CROSS,CONSERVATIVE,2024,276,0.6557971014492754,1.8071232385722744,381.30610864477256,36.21038938547499,11,1,188,88
PLUS_CROSS,CONSERVATIVE,2025,241,0.6514522821576764,1.744162117238876,506.7062535853983,65.47773680760929,10,2,185,56
PLUS_CROSS,CONSERVATIVE,2026,107,0.6635514018691588,2.150575019991049,733.0441257582804,105.26432423256502,5,1,86,21
