strategy,year,count,cost2_pnl,cost2_expectancy,cost2_pf,cost5_pnl,cost5_expectancy,cost5_pf
H1,2023,49,-128.024289,-2.612741,0.334047,-275.024289,-5.612741,0.092306
H1,2024,67,-180.965587,-2.700979,0.426390,-381.965587,-5.700979,0.175439
H1,2025,72,-269.673438,-3.745464,0.458520,-485.673438,-6.745464,0.249067
H1,2026,36,-66.981608,-1.860600,0.837971,-174.981608,-4.860600,0.634992
H4,2020,31,-56.966418,-1.837626,0.650759,-149.966418,-4.837626,0.339107
H4,2021,21,3.774638,0.179745,1.045872,-59.225362,-2.820255,0.479139
H4,2022,43,-143.381314,-3.334449,0.544098,-272.381314,-6.334449,0.332269
H4,2023,18,-58.335169,-3.240843,0.340735,-112.335169,-6.240843,0.102791
H4,2024,39,-229.584426,-5.886780,0.275563,-346.584426,-8.886780,0.133440
H4,2025,56,21.290686,0.380191,1.047223,-146.709314,-2.619809,0.723730
H4,2026,15,-12.164191,-0.810946,0.930492,-57.164191,-3.810946,0.703819
