strategy,decision_time,status,max_feature_diff,direction_full,direction_prefix,h4_source_close,d1_source_close
H1,2023-03-14 09:00:00,PASS,0.0,LONG,LONG,2023-03-14 08:00:00,2023-03-14 00:00:00
H1,2023-12-01 12:00:00,PASS,0.0,LONG,LONG,2023-12-01 12:00:00,2023-12-01 00:00:00
H1,2024-08-14 10:00:00,PASS,0.0,LONG,LONG,2024-08-14 08:00:00,2024-08-14 00:00:00
H1,2025-03-07 11:00:00,PASS,0.0,LONG,LONG,2025-03-07 08:00:00,2025-03-07 00:00:00
H1,2025-10-01 12:00:00,PASS,0.0,LONG,LONG,2025-10-01 12:00:00,2025-10-01 00:00:00
H1,2026-06-18 12:00:00,PASS,0.0,SHORT,SHORT,2026-06-18 12:00:00,2026-06-18 00:00:00
H4,2020-01-15 08:00:00,PASS,0.0,LONG,LONG,,2020-01-15 00:00:00
H4,2021-06-11 08:00:00,PASS,0.0,LONG,LONG,,2021-06-11 00:00:00
H4,2022-12-27 12:00:00,PASS,0.0,LONG,LONG,,2022-12-24 00:00:00
H4,2024-09-24 08:00:00,PASS,0.0,LONG,LONG,,2024-09-24 00:00:00
H4,2025-09-01 08:00:00,PASS,0.0,LONG,LONG,,2025-08-30 00:00:00
H4,2026-06-19 08:00:00,PASS,0.0,SHORT,SHORT,,2026-06-19 00:00:00
