strategy,criterion,pass
H1,resolved_trades_ge_30,True
H1,trigger_coverage_ge_98pct,True
H1,cost2_expectancy_positive,False
H1,cost2_pf_ge_1_15,False
H1,cost5_expectancy_positive,False
H1,long_short_each_ge_10,True
H1,long_short_each_cost2_pnl_nonnegative,False
H1,both_execution_sources_cost2_expectancy_nonnegative,False
H1,max_dd_le_gross_profit,True
H1,gap_fill_rate_le_20pct,True
H1,batch_prefix_streaming_parity,True
H4,resolved_trades_ge_30,True
H4,trigger_coverage_ge_98pct,True
H4,cost2_expectancy_positive,True
H4,cost2_pf_ge_1_15,True
H4,cost5_expectancy_positive,True
H4,long_short_each_ge_10,True
H4,long_short_each_cost2_pnl_nonnegative,True
H4,both_execution_sources_cost2_expectancy_nonnegative,True
H4,max_dd_le_gross_profit,True
H4,gap_fill_rate_le_20pct,True
H4,batch_prefix_streaming_parity,True
