strategy,checkpoint_setup_id,checkpoint_decision_time,compared_rows,status,mismatch,max_numeric_diff
H1,H1_20250113_0800,2025-01-13 08:00:00,1,PASS,,0.0
H1,H1_20250307_1100,2025-03-07 11:00:00,60,PASS,,1.7763568394002505e-15
H1,H1_20250604_1200,2025-06-04 12:00:00,120,PASS,,4.547473508864641e-13
H1,H1_20250826_1200,2025-08-26 12:00:00,180,PASS,,4.547473508864641e-13
H1,H1_20251009_1400,2025-10-09 14:00:00,240,PASS,,4.547473508864641e-13
H1,H1_20260106_1300,2026-01-06 13:00:00,300,PASS,,4.547473508864641e-13
H1,H1_20260327_1400,2026-03-27 14:00:00,360,PASS,,4.547473508864641e-13
H1,H1_20260618_1300,2026-06-18 13:00:00,420,PASS,,4.547473508864641e-13
H4,H4_20250110_0800,2025-01-10 08:00:00,1,PASS,,0.0
H4,H4_20250306_0800,2025-03-06 08:00:00,56,PASS,,3.552713678800501e-15
H4,H4_20250523_0800,2025-05-23 08:00:00,112,PASS,,3.552713678800501e-15
H4,H4_20250829_0800,2025-08-29 08:00:00,168,PASS,,3.552713678800501e-15
H4,H4_20251014_0800,2025-10-14 08:00:00,224,PASS,,3.552713678800501e-15
H4,H4_20260106_1200,2026-01-06 12:00:00,280,PASS,,3.552713678800501e-15
H4,H4_20260311_1200,2026-03-11 12:00:00,336,PASS,,3.552713678800501e-15
H4,H4_20260619_1200,2026-06-19 12:00:00,392,PASS,,3.552713678800501e-15
