family,evaluation,n,cost2_win_rate,cost5_win_rate,cost5_expectancy,cost5_pf,decision
C1_CHANNEL6,FROZEN_COMPONENT,52,0.615385,0.576923,8.225383,2.075228,KEEP
F12_H1_FALSE_BREAK_RECLAIM,NONLINEAR_GATE,18,0.666667,0.666667,7.879302,2.592987,RESEARCH_LEAD_ONLY
C2_PULLBACK,NONLINEAR_GATE,32,0.59375,0.5,3.81888,1.484921,NOT_QUALIFIED
C3_COMPRESSION,NONLINEAR_GATE,9,0.777778,0.777778,31.566127,34.580987,TOO_SMALL_OVERLAP_CONCENTRATED
F4_THREE_BAR_BASE,RAW,38,0.552632,0.526316,3.809132,1.565726,2026_SHORT_CONCENTRATED
C4_PREV_BAR,NONLINEAR_GATE,117,0.512821,0.435897,-0.312431,0.967798,REJECT
F11_H1_FOUR_BAR_COMPRESSION,NONLINEAR_GATE,26,0.461538,0.461538,2.426283,1.229537,REJECT_WINRATE
F13_H1_EMA20_RECLAIM,NONLINEAR_GATE,45,0.333333,0.333333,-4.457099,0.614507,REJECT
F14_H1_NR7_RELEASE,NONLINEAR_GATE,37,0.432432,0.351351,-7.714302,0.454958,REJECT
F9_MOTHER_BAR_BREAKOUT,RAW,6,1.0,1.0,7.796667,inf,SAMPLE_TOO_SMALL
G9_H4_DAILY_LEVEL_RECLAIM,RAW,5,0.6,0.6,7.578,5.12296,SAMPLE_TOO_SMALL
G10_H1_DAILY_LEVEL_RECLAIM,RAW,4,0.75,0.75,7.662257,3.229523,SAMPLE_TOO_SMALL
