timeframe,hypothesis,axis_1,category_1,axis_2,category_2,horizon_hours,n,positive_rate,median_return_atr,persistent_share,delayed_share,fade_share,late_reversal_share,immediate_share,no_direction_share
H1,TIMEFRAME_TREND,trend_state,WEAK_TREND,volatility_bucket,LOW,48,570,0.6280701754385964,1.88666028021444,0.35126050420168065,0.2319327731092437,0.12605042016806722,0.03529411764705882,0.0,0.25546218487394956
H1,TIMEFRAME_TREND,hour_bin,UTC20_23,volatility_bucket,LOW,72,255,0.5882352941176471,1.5086163008279478,0.2972972972972973,0.12312312312312312,0.14114114114114115,0.05405405405405406,0.0,0.3843843843843844
H1,TIMEFRAME_TREND,hour_bin,UTC08_11,volatility_bucket,LOW,48,444,0.6171171171171171,1.330201690040945,0.26955074875207985,0.1314475873544093,0.11314475873544093,0.056572379367720464,0.0,0.4292845257903494
H1,BAR_CONTINUATION,hour_bin,UTC08_11,volatility_bucket,HIGH,72,300,0.5733333333333334,1.2475644684184295,0.31446540880503143,0.1761006289308176,0.16037735849056603,0.06918238993710692,0.0,0.279874213836478
H1,TIMEFRAME_TREND,hour_bin,UTC00_03,volatility_bucket,LOW,24,289,0.615916955017301,1.1446529137113597,0.2883116883116883,0.15844155844155844,0.08831168831168831,0.046753246753246755,0.0,0.41818181818181815
H1,BAR_CONTINUATION,hour_bin,UTC08_11,volatility_bucket,HIGH,48,304,0.569078947368421,0.8499622176318571,0.31446540880503143,0.1761006289308176,0.16037735849056603,0.06918238993710692,0.0,0.279874213836478
H1,TIMEFRAME_TREND,hour_bin,UTC04_07,volatility_bucket,LOW,24,394,0.5685279187817259,0.6406192956118988,0.24758220502901354,0.20502901353965183,0.1218568665377176,0.0425531914893617,0.0,0.3829787234042553
H4,BAR_CONTINUATION,candle_state,STRONG_DIRECTIONAL,trend_state,CONFLICT,48,111,0.5945945945945946,0.4207653609010625,0.3508771929824561,0.19298245614035087,0.13157894736842105,0.05263157894736842,0.0,0.2719298245614035
H4,BAR_CONTINUATION,candle_state,INDECISION,trend_state,WEAK_TREND,12,59,0.6271186440677966,0.3302553750780032,0.2857142857142857,0.07936507936507936,0.25396825396825395,0.07936507936507936,0.0,0.30158730158730157
H4,BAR_CONTINUATION,h1_h4_d1_alignment,OPPOSED,extension_bucket,HEALTHY_EXTENSION,12,113,0.584070796460177,0.29689664139231,0.3508771929824561,0.15789473684210525,0.18421052631578946,0.06140350877192982,0.0,0.24561403508771928
H1,BAR_CONTINUATION,candle_state,INDECISION,trend_state,RANGE,8,231,0.5757575757575758,0.2461229870850176,0.3054393305439331,0.16317991631799164,0.2217573221757322,0.05439330543933055,0.0041841004184100415,0.2510460251046025
H4,BAR_CONTINUATION,candle_state,STRONG_DIRECTIONAL,trend_state,WEAK_TREND,8,84,0.5833333333333334,0.2120849800255431,0.34831460674157305,0.14606741573033707,0.14606741573033707,0.0449438202247191,0.0,0.3146067415730337
