section,item,value_2025,value_2026,change,status
MARKET_SHIFT_MATCHED,H1_price_change_pct,25.229936,-9.321965,-34.551901,
MARKET_SHIFT_MATCHED,H1_median_atr_pct_price,0.301334,0.468977,0.167643,
MARKET_SHIFT_MATCHED,H4_median_atr_pct_price,0.615962,0.951452,0.335490,
MARKET_SHIFT_MATCHED,H4_share_strong_trend,0.531758,0.415680,-0.116077,
MARKET_SHIFT_MATCHED,H4_share_weak_trend,0.096012,0.213018,0.117006,
MARKET_SHIFT_MATCHED,H4_share_range,0.146233,0.178994,0.032761,
MARKET_SHIFT_MATCHED,H4_share_compression,0.094535,0.176036,0.081501,
MARKET_SHIFT_MATCHED,H1_share_low_vol,0.283288,0.363109,0.079821,
MARKET_SHIFT_MATCHED,H1_share_d1_long,0.973755,0.442382,-0.531373,
MARKET_SHIFT_MATCHED,H1_share_d1_short,0.000000,0.459783,0.459783,
MARKET_SHIFT_MATCHED,H1_share_all_aligned,0.466615,0.325213,-0.141403,
MARKET_SHIFT_MATCHED,H1_share_any_range,0.178310,0.283449,0.105140,
REGIME_RECENCY,R1_H1_WEAK_TREND_LOW_VOL,2.982864,0.291274,-2.691590,CURRENTLY_UNSTABLE
REGIME_RECENCY,R2_H1_UTC08_11_HIGH_VOL_48H,0.746485,0.860548,0.114062,CURRENTLY_MAINTAINED_DIRECTION_DIVERGENCE_WARNING
REGIME_RECENCY,R3_H1_INDECISION_RANGE,0.155048,0.430920,0.275872,WEAKENED_BUT_POSITIVE
