category,item,n,value,note
LATEST60_OUTCOME,R2_ALL,34,0.5667391271076359,positive=0.5588; mean=1.0861
LATEST60_OUTCOME,R2_LONG,16,-0.3970711391753571,positive=0.4375; mean=1.1328
LATEST60_OUTCOME,R2_SHORT,18,0.9745763450558591,positive=0.6667; mean=1.0445
LATEST60_OUTCOME,R3_ALL,33,0.747779536130116,positive=0.6667; mean=0.6239
LATEST60_OUTCOME,R3_LONG,6,-0.5061600819404722,positive=0.3333; mean=-0.2150
LATEST60_OUTCOME,R3_SHORT,27,0.7671996537132472,positive=0.7407; mean=0.8103
CAUSE_CLASSIFICATION,R2_LONG,16,0.7936507936507937,RECENT_REGIME_ASSOCIATION_ONLY
CAUSE_CLASSIFICATION,R2_SHORT,18,0.5277777777777779,PATH_TIMING_SHIFT_NOT_ENTRY_SEPARABLE
CAUSE_CLASSIFICATION,R3_LONG,6,,INSUFFICIENT_SAMPLE
CAUSE_CLASSIFICATION,R3_SHORT,27,0.6071428571428572,RECENT_REGIME_ASSOCIATION_ONLY
