section,item,n,mean_gross_atr,median_gross_atr,cost2_expectancy_usd,cost5_expectancy_usd,pf_cost2,median_mae_atr,status
BASE,FIXED_24H,300,0.326292,0.254982,11.442033,8.442033,1.398690,-1.754066,BASE_HORIZON_CURRENTLY_WEAK
BASE,FIXED_48H,300,0.958958,0.773195,21.740933,18.740933,1.503745,-2.300284,BASE_HORIZON_CURRENTLY_ROBUST
BASE,FIXED_72H,300,1.089401,1.247564,22.910700,19.910700,1.490683,-2.933973,BASE_HORIZON_CURRENTLY_ROBUST
MANAGEMENT,SL_1.5_ATR_48H,300,1.004112,-1.500000,28.423550,25.423550,2.307392,-1.526150,FAIL_CURRENT_SHORT
MANAGEMENT,SL_2.0_ATR_48H,300,1.071391,-2.000000,28.877009,25.877009,2.156452,-2.006892,FAIL_CURRENT_SHORT
MANAGEMENT,BREAKEVEN_AFTER_1ATR_48H,300,0.714080,0.000000,18.575814,15.575814,2.397422,-0.844524,FAIL_CURRENT_SHORT_AND_CONCENTRATION
MANAGEMENT,PROTECT_FADE_AFTER_1ATR,300,0.680718,0.019125,17.199533,14.199533,1.672061,-1.038608,FAIL_CURRENT_SHORT
MANAGEMENT,H1_THREE_BAR_STRUCTURE_BREAK_48H,300,0.307417,-0.529863,7.816667,4.816667,1.459294,-0.979336,FAIL_DELAYED_PATH
MANAGEMENT,TRAIL_AFTER_1_5ATR,300,0.197016,0.619614,4.238999,1.238999,1.274316,-1.205592,FAIL_CURRENT_ROBUSTNESS
CURRENT,FIXED_48H_LATEST60,34,1.086073,0.566739,27.047353,24.047353,1.803286,-2.539813,LONG_AND_SHORT_POSITIVE
CURRENT,FIXED_72H_LATEST60,34,1.012990,0.716078,26.240000,23.240000,1.569983,-2.933973,LONG_AND_SHORT_POSITIVE
STATUS,STRICT_EXIT_MANAGEMENT_LEADS,0,,,,,,,NO_EXIT_MANAGEMENT_RESEARCH_LEAD
