section,horizon_h,period,direction,n,positive_rate,mean_gross_atr,median_gross_atr,cost2_expectancy_usd,cost5_expectancy_usd,pf_cost2,status
PARITY,0,2025,ALL,193,1.0,0,0,0,0,1.0,CANDIDATE_ACTIVATION_DIRECTION_ATR_EXACT
EXTERNAL_BASE,48,2023_2024,ALL,182,0.478022,0.113317,-0.396025,-1.349066,-4.349066,0.906125,REJECTED
EXTERNAL_BASE,48,2023,ALL,74,0.472973,-0.425126,-0.635513,-3.268514,-6.268514,0.773936,REJECTED
EXTERNAL_BASE,48,2024,ALL,108,0.481481,0.482251,-0.244934,-0.033889,-3.033889,0.997632,REJECTED
EXTERNAL_BASE,48,2023_2024,LONG,92,0.500000,-0.301895,0.246633,-4.274022,-7.274022,0.753705,REJECTED
EXTERNAL_BASE,48,2023_2024,SHORT,90,0.455556,0.537756,-0.712223,1.640889,-1.359111,1.144928,NOT_DIRECTION_ROBUST
EXTERNAL_BASE,72,2023_2024,ALL,182,0.489011,0.087161,-0.187940,-1.437582,-4.437582,0.921118,REJECTED
EXTERNAL_BASE,72,2023,ALL,74,0.486486,-0.638016,-0.520776,-3.938649,-6.938649,0.753353,REJECTED
EXTERNAL_BASE,72,2024,ALL,108,0.490741,0.584041,-0.143870,0.276111,-2.723889,1.013966,REJECTED
EXTERNAL_BASE,72,2023_2024,LONG,92,0.478261,0.039986,-0.306238,-3.017935,-6.017935,0.853154,REJECTED
EXTERNAL_BASE,72,2023_2024,SHORT,90,0.500000,0.135384,-0.006335,0.177889,-2.822111,1.011227,NOT_DIRECTION_ROBUST
