family,variant,tp_r,discovery_n,median_gross_r,cost2_expectancy_usd,pf_cost2,top5_profit_share,discovery_lead
A,A_H1S20,1.5,10,0.1619228402304945,-0.8354562197579298,0.7572228214406287,1.0,False
A,A_H1S20,2.0,10,-0.47530936145682734,-1.0155550806224938,0.7498790903896989,1.0,False
A,A_H1S20,2.5,10,-0.47530936145682734,-0.1481296942020208,0.9635171596685875,1.0,False
A,A_PD,1.5,11,1.5,0.9966682843946728,1.7436805933690909,0.9060965878931547,False
A,A_PD,2.0,11,2.0,0.5151761970418895,1.229529569613898,0.9959086326701428,False
A,A_PD,2.5,11,2.4999999999999463,1.4778193364805206,1.6584217947512994,0.9839970083224617,False
B,B_H1S20,1.5,106,-1.0,-2.0348134790915196,0.5227872350711245,0.2939942209486522,False
B,B_H1S20,2.0,106,-1.0,-1.9606913262013768,0.5683140622635173,0.24615040613720657,False
B,B_H1S20,2.5,106,-1.0,-2.2752790923207864,0.537132115699272,0.2765510644457481,False
B,B_PD,1.5,70,-0.1377850546260193,-1.2874076082326253,0.6612773219300084,0.40027626326993726,False
B,B_PD,2.0,70,-1.0,-1.629051420615802,0.6222610855536463,0.3968307935257894,False
B,B_PD,2.5,70,-1.0,-1.862664145136432,0.604417738187828,0.45356560628940495,False
